Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2/26/2013,443.82,451.54,437.66,448.97,17910700,0,1,56.81805034,57.80636846,56.02944417,57.47735582,125374900
2/25/2013,453.85,455.12,442.57,442.8,13306400,0,1,58.10209577,58.26468179,56.65802474,56.68746945,93144800
2/22/2013,449.25,451.6,446.6,450.81,11809100,0,1,57.51320156,57.81404969,57.17394728,57.71291351,82663700
2/21/2013,446,449.17,442.82,446.06,15970800,0,1,57.09713499,57.50295992,56.69002986,57.10481622,111795600
2/20/2013,457.69,457.69,448.8,448.85,17010800,0,1,58.59369443,58.59369443,57.45559234,57.46199336,119075600
2/19/2013,461.1,462.73,453.85,459.99,15563700,0,1,59.03024427,59.23891765,58.10209577,58.88814153,108945900
2/15/2013,468.85,470.16,459.92,460.16,13990900,0,1,60.02240301,60.19010984,58.8791801,58.90990502,97936300
2/14/2013,464.5199,471.64,464.02,466.59,12688400,0,1,59.46806152,60.37958015,59.40406408,59.73307672,88818800
2/13/2013,467.21,473.64,463.22,467.01,16971700,0,1,59.81244941,60.63562111,59.30164769,59.78684532,118801900
2/12/2013,479.51,482.38,467.744,467.9,21751900,0,1,61.38710134,61.75452013,59.88081235,59.90078355,152263300
2/11/2013,476.5,484.94,473.25,479.93,18481800,0,1,61.00175969,62.08225256,60.58569313,61.44086995,129372600
2/8/2013,474,478.81,468.25,474.98,22612800,0,1,60.68170849,61.29748701,59.94559072,60.80716856,158289600
2/7/2013,463.25,470,454.12,468.22,25163600,2.65,1,59.30548831,60.16962656,58.1366613,59.9417501,176145200
2/6/2013,456.47,466.5,452.58,457.35,21203800,0,1,58.10863013,59.38544911,57.61343314,58.22065413,148426600
2/5/2013,444.05,459.74,442.22,457.844,20476700,0,1,56.52756415,58.52490112,56.29460516,58.28354033,143336900
2/4/2013,453.91,455.94,442,442.316,17039900,0,1,57.78274213,58.04116113,56.26659916,56.30682596,119279300
2/1/2013,459.11,459.48,448.35,453.62,19267300,0,1,58.44470212,58.49180312,57.07495414,57.74582513,134871100
1/31/2013,456.98,459.28,454.98,455.49,11404800,0,1,58.17355313,58.46634312,57.91895313,57.98387613,79833600
1/30/2013,457,462.6,454.5,456.83,14898400,0,1,58.17609913,58.88897912,57.85784913,58.15445813,104288800
